district_name;Число избирателей, внесенных в списки избирателей;Число избирательных бюллетеней, полученных участковыми избирательными комиссиями;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных избирателям в помещениях для голосования;Число избирательных бюллетеней, выданных избирателям вне помещений для голосования ;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней в переносных ящиках для голосования;Число избирательных бюллетеней в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число открепительных удостоверений, полученных участковыми избирательными комиссиями;Число открепительных удостоверений, выданных избирателям на избирательных участках ;Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках;Число погашенных неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении ;Число утраченных открепительных удостоверений;Число не учтенных открепительных удостоверений;1.Политическая партия «Аграрная партия России»;2.Всероссийская политическая партия «Гражданская Сила»;3.Политическая партия «Демократическая партия России»;4.Политическая партия «Коммунистическая партия Российской Федерации»;5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»;6.Политическая партия «Партия социальной справедливости»;7.Политическая партия «Либерально-демократическая партия России»;8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»;9.Политическая партия «ПАТРИОТЫ РОССИИ»;10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»;11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»
Сумма;109145517;101721136;147966;65033458;4428022;32107101;4574589;64962476;759929;68777136;2146028;1480696;1169149;665300;108599;4751;162;10;0;1600234;733604;89780;8046886;669444;154083;5660823;5383639;615417;44714241;1108985
Республика Адыгея (Адыгея);329786;311065;6;189421;11689;109949;11695;189282;2623;198354;1919;808;477;1111;54;0;0;0;0;3065;1147;212;24565;540;301;11786;10512;2018;142627;1581
Республика Алтай;144483;136758;971;90658;7101;38028;8071;90651;859;97863;2826;1290;1073;1536;35;0;0;0;0;2862;362;156;7884;705;147;6364;9331;964;68573;515
Республика Башкортостан - Бирская;709903;701491;0;638832;31127;31531;31126;638725;5656;664195;14194;13395;6201;799;1318;1;0;0;0;4953;1109;390;30491;960;564;11152;11895;2049;599105;1527
Республика Башкортостан - Салаватская;696114;682414;0;597066;27163;58185;27163;596858;4392;619629;8919;7850;4325;1069;739;0;0;0;0;4588;1095;365;54999;979;512;11519;16863;1553;525814;1342
Республика Башкортостан - Стерлитамакская;717095;691655;0;627917;29185;34553;29185;627785;3837;653133;9471;8724;4628;747;406;0;0;0;0;3332;912;327;36880;1325;478;10002;37263;1677;559653;1284
Республика Башкортостан - Уфимская;787593;729480;0;637635;23027;68818;23026;637175;4715;655486;19362;18905;15637;457;245;0;0;0;0;5936;4437;994;72166;4702;1583;25204;43604;3996;485669;7195
Республика Бурятия;696087;617442;2016;383506;23157;208756;25171;383082;10456;397797;24491;7203;5200;17288;83;13;6;0;0;5332;1606;513;43559;2188;640;28189;42026;2272;267776;3696
Республика Дагестан - Дербентская;691688;681617;0;625901;8126;47585;8126;625738;1819;632045;12516;592;157;11924;6;5;0;0;0;797;126;83;53046;174;50;5504;6922;1532;563502;309
Республика Дагестан - Махачкалинская;730050;706083;0;663774;6730;35512;6730;663667;2403;667994;13594;579;406;13015;16;67;0;0;0;1361;197;97;60355;204;183;2680;2263;612;599798;244
Республика Ингушетия;164275;164048;0;159933;1626;2489;1626;159933;89;161470;1993;213;206;1780;2;0;0;0;0;132;100;65;234;69;65;451;562;67;159496;229
Кабардино-Балкарская Республика;518183;515822;0;485807;15274;14741;15274;485730;488;500516;2603;1007;670;1596;38;0;0;0;0;596;174;51;8601;119;115;2030;6404;566;481583;277
Республика Калмыкия;207075;199981;0;129477;8878;61626;8878;129429;1129;137178;5792;4234;2547;1558;139;0;0;0;0;4007;633;848;16205;867;159;4660;7883;1014;100170;732
Карачаево-Черкесская Республика;305428;292081;0;274167;8182;9730;8182;274164;575;281771;1033;587;606;446;110;2;0;0;0;462;138;72;10330;112;233;5353;831;1682;262308;250
Республика Карелия;563904;510164;1027;293650;15144;200343;16169;293414;3170;306413;8747;3821;3008;4926;278;0;0;0;0;5348;4398;417;33293;2224;902;32121;34785;3268;177322;12335
Республика Коми;756971;699865;1344;466715;25338;206468;26678;466212;6047;486843;14985;11545;9834;3440;6000;0;0;0;0;14756;5146;640;46983;4397;1011;56279;41474;3751;305906;6500
Республика Марий Эл;541761;534457;295;383452;41788;108922;42081;383374;4258;421197;20129;19522;12553;607;862;0;0;0;0;14834;3439;535;45046;2673;986;31992;27208;3439;287333;3712
Республика Мордовия;658087;650206;0;573883;48199;28124;48191;573655;3087;618759;18013;12164;7145;5849;118;0;0;0;0;1095;613;200;23212;576;185;5935;4415;879;580894;755
Республика Саха (Якутия);612999;551568;5320;402427;23793;119999;29106;401990;4391;426705;13177;6268;3651;6909;360;29;0;0;0;7744;2205;477;40873;9191;1076;27003;56856;2294;275856;3130
Республика Северная Осетия - Алания;474215;447180;1588;271728;12795;161083;14098;271009;7509;277598;16790;4496;3194;12294;229;40;54;0;0;6720;1343;544;31033;2585;977;8017;18554;2390;204132;1303
Республика Татарстан (Татарстан) - Московская;675760;652709;0;565201;29597;57911;29596;565101;4814;589883;16266;12629;8457;3637;30;0;0;0;0;3798;2143;563;27819;3475;739;20692;18728;1604;505985;4337
Республика Татарстан (Татарстан) - Набережночелнинская;717786;687944;0;585103;23921;78920;23921;584875;3994;604802;10048;7332;3692;2716;348;0;0;0;0;5065;2439;707;49538;2420;1090;19660;34061;1547;484949;3326
Республика Татарстан (Татарстан) - Нефтяная;728530;716559;0;629938;23802;62819;23794;629775;6470;647099;11671;8727;4987;2944;361;0;0;0;0;5185;2162;723;52553;2259;1150;16767;27760;1715;533930;2895
Республика Татарстан (Татарстан) - Центральная;695769;662425;0;527630;21908;112887;21906;527351;4585;544672;20008;18580;20262;1428;29;0;0;0;0;3981;3954;1064;31616;6159;1349;36232;22849;2857;425975;8636
Республика Тыва;163958;167717;3904;120177;8706;34922;12598;119957;1414;131141;1702;1106;637;596;261;9;1;0;0;776;235;79;3969;157;262;2764;3375;1002;118255;267
Удмуртская Республика;1221688;1082011;0;715978;33220;332799;33218;715134;11800;736552;18646;11812;8795;6834;783;14;0;0;0;15466;7388;1120;79411;5552;1802;82109;64479;18976;453248;7001
Республика Хакасия;395844;358191;27;202282;15059;140823;15085;202141;2068;215158;4599;4408;3696;191;1399;0;0;0;0;5845;1860;312;27984;1413;466;24582;11565;9788;129321;2022
Чеченская Республика;580918;580918;1385;574055;2599;2871;3984;573820;555;577249;6708;495;305;6213;58;8;0;0;0;231;176;162;768;449;153;357;328;207;574101;317
Чувашская Республика - Чувашия;973296;921872;0;641341;46356;234175;46354;641212;9830;677736;56661;46526;27582;10135;3280;0;0;0;0;10340;4327;912;86904;2675;1374;58354;70923;8634;428160;5133
Алтайский край - Барнаульская;673404;568643;0;385467;21023;162153;21021;385180;4193;402008;8488;7576;7350;912;277;0;0;0;0;13371;4642;599;66848;7808;955;46819;40132;5361;207618;7855
Алтайский край - Бийская;661203;631872;72;371603;26117;234080;26186;371504;3917;393773;6545;3743;3699;2802;89;0;0;0;0;16059;1881;475;68590;3088;722;40932;33005;2983;222695;3343
Алтайский край - Рубцовская;667472;597566;76;389210;26552;181727;26626;389040;3860;411806;6010;3651;2407;2359;115;1;0;0;0;20739;1584;435;70374;3429;603;39504;33317;2729;236628;2464
Краснодарский край - Каневская;735945;727883;0;451241;48111;228531;48104;450853;8789;490168;10269;5646;3165;4623;337;0;0;0;0;11290;2511;643;69547;1535;706;36864;39689;3214;321526;2643
Краснодарский край - Краснодарская;754594;693652;0;433462;26303;233887;26303;432917;8576;450644;17916;7693;7826;10223;189;0;0;0;0;9219;7003;848;80204;3589;1133;39225;33505;5745;260976;9197
Краснодарский край - Крымская;802747;758504;0;484029;44375;230100;44322;483513;9608;518227;10013;5930;5327;4083;491;0;0;0;0;10105;3345;862;79951;2431;877;38701;46892;4561;326410;4092
Краснодарский край - Сочинская;777132;743905;127;451926;30896;260956;31007;451401;8943;473465;14060;7075;9522;6985;454;0;0;0;0;8554;5106;802;55800;3751;881;41791;41658;3913;304365;6844
Краснодарский край - Усть-Лабинская;719043;685021;0;438213;46215;200593;46212;437997;9176;475033;10033;5050;3751;4983;266;0;0;0;0;9650;2926;738;68439;2419;866;39925;33703;3572;308728;4067
Красноярский край - Ачинско-Минусинская;696892;648651;1424;414733;26228;206266;27649;414527;5299;436877;9773;5490;4111;4283;180;0;0;0;0;12264;2631;613;59724;4466;851;48144;31538;3875;269586;3185
Красноярский край - Красноярская;728766;678842;0;371725;13906;293211;13894;371486;5100;380280;15542;9010;7983;6532;763;0;0;0;0;9608;4552;574;48871;7397;980;36928;39145;3831;221921;6473
Красноярский край - Норильско-Канская;700553;669786;2791;408895;26881;231219;29670;408706;5357;433019;10326;6299;4280;4027;1204;0;0;0;0;10176;3211;509;52404;4639;1011;48672;29393;2909;276592;3503
Приморский край - Северная;704329;655507;1587;407733;22937;223250;24519;407437;5043;426913;19204;7675;5092;11529;363;0;0;0;0;12903;3069;583;52191;2359;1094;56662;38589;3804;251565;4094
Приморский край - Южная;821393;748237;164;423801;12751;311521;12910;423224;7659;428475;21511;7728;6629;13783;292;0;0;0;0;9791;6202;838;51155;5040;1423;60197;49431;8995;224753;10650
Ставропольский край - Пятигорская;986310;917101;0;493030;43058;381012;43050;492811;5362;530499;9799;5632;7591;4167;79;1;0;0;0;9372;3528;544;61430;3491;812;34548;73622;3473;334303;5376
Ставропольский край - Ставропольская;959297;865559;0;511201;34393;319960;34358;510208;5464;539102;9860;5534;4454;4307;431;5;0;0;0;11002;3811;467;58490;4693;880;39893;71657;4182;337767;6260
Хабаровский край;1076505;1022405;1368;625154;35267;360616;36516;624397;7820;653093;14436;12823;9387;1613;493;0;0;0;0;11905;6806;1246;72557;6165;1814;88494;45007;7156;401043;10900
Амурская область;668097;638421;2034;423737;27699;184951;29732;423576;3886;449422;6529;5305;3937;1224;384;0;0;0;0;7235;2447;519;46058;6544;799;45941;17827;2839;316190;3023
Архангельская область;1014473;938861;796;522516;27609;387940;28404;522146;3983;546567;15567;6945;5123;8621;414;0;0;1;0;21835;7489;752;61436;5158;1918;58443;60718;4892;312249;11677
Астраханская область;757358;724790;1252;438854;32328;252356;33575;438671;6395;465851;15264;14188;13485;1076;1674;0;0;0;0;5303;2814;528;45813;1941;812;31888;95230;4036;273921;3565
Белгородская область;1207712;1122967;0;807498;88598;226871;88597;807131;10474;885254;14253;11899;9194;2354;279;0;0;0;0;16189;6114;971;140175;3347;1575;57712;58293;6487;585723;8668
Брянская область;1050986;1021798;0;542547;54542;424699;54540;542422;5406;591556;13832;8909;6221;4923;636;10;0;0;0;13386;4676;588;102013;2348;1200;39007;50126;4925;368750;4537
Владимирская область;1222497;1088104;0;679228;55131;353736;55127;678573;9396;724304;18543;12929;10033;5614;417;9;0;0;0;25707;7538;922;105641;5535;2267;74046;67577;8945;416375;9751
Волгоградская область - Волгоградская;683220;651218;0;332683;12144;306391;12141;332445;2818;341768;16315;5398;4706;10917;70;0;0;0;0;9556;4393;411;53422;2542;731;34111;39843;3241;185852;7666
Волгоградская область - Волжская;658969;637171;0;347324;21746;268086;21745;347092;3123;365714;10694;4844;3482;5850;206;15;0;0;0;14582;2936;382;57775;1584;744;31519;35472;2481;214010;4229
Волгоградская область - Михайловская;632973;621408;0;360325;47055;214020;47054;360239;2963;404330;10795;6013;3419;4782;250;8;0;0;0;25838;1816;423;64986;1023;593;35563;22201;2496;247275;2116
Вологодская область;990788;925341;0;577202;61494;286645;61490;576801;5453;632838;26514;18809;12466;7705;960;0;0;0;0;34510;7590;699;59202;4742;1352;70197;56212;5122;386002;7210
Воронежская область - Воронежская;925428;799957;0;509077;30605;260275;30602;508695;5978;533319;11551;9756;10855;1795;302;0;0;0;0;13333;8034;880;117744;4340;1183;66077;46766;4482;259747;10733
Воронежская область - Павловская;998879;959517;0;603324;143995;212198;143989;603194;7595;739588;18860;17733;8510;1126;734;0;0;1;0;20245;3084;739;90286;1462;1053;63691;71311;4812;479522;3383
Ивановская область;893057;872625;408;445028;46365;380824;46772;444635;4320;487087;14479;11337;7180;3142;158;0;0;0;0;20451;5796;550;53749;4504;1346;51007;39946;4910;298590;6238
Иркутская область - Братская;828221;775090;139;473034;33179;268738;33318;472727;5538;500507;16963;10787;6824;6176;412;0;0;0;0;16919;2749;704;50265;4895;1067;58722;42503;4011;313807;4865
Иркутская область - Иркутская;969180;886095;376;533067;22198;330452;22564;532397;7071;547890;27901;16768;12805;11133;162;2;0;0;0;21857;5726;926;64654;11225;1705;63235;55572;5182;306866;10942
Калининградская область;751045;614829;0;416153;13297;185357;13296;415660;4993;423963;5868;4852;4251;1015;90;22;0;1;0;8312;7728;694;59178;3318;1044;43604;35055;9429;246120;9481
Калужская область;823976;771114;473;419567;41604;309470;42075;418973;4198;456850;9035;6733;5074;2302;364;0;0;0;0;13959;5072;618;61860;3789;1035;37931;35210;5802;284219;7355
Кемеровская область;2099965;1995439;425;1514595;124976;355428;125383;1512312;14635;1623060;45658;43033;33493;2625;3942;15;0;0;0;20500;12065;1798;117506;9607;2919;122703;54966;8034;1258100;14862
Кировская область;1147433;1113928;0;735221;81227;297478;81226;734469;9290;806405;24693;24391;18708;302;5266;2;0;0;0;54633;8372;1141;95043;6146;2800;98419;66528;11203;451719;10401
Костромская область;579230;553055;0;323655;33350;196050;33351;323243;2456;354138;6462;4813;3736;1649;179;0;0;0;0;15454;3062;399;47288;2697;836;37227;39636;2807;200963;3769
Курганская область;779019;739282;0;469094;37902;232282;37901;468938;3714;503125;12528;10479;7375;2049;340;4;0;0;0;20038;3503;541;57462;2644;1002;53202;29482;4662;326566;4023
Курская область;978073;875788;0;554633;64231;256924;64230;553879;7519;610590;16926;14043;10123;2883;655;0;0;0;0;11041;3818;1060;71305;2776;1131;54135;67179;4934;387829;5382
Ленинградская область;1322148;1180229;79;664058;44914;471161;44989;663660;5872;702777;23776;14222;11125;9553;654;17;0;1;0;19358;8354;687;76393;7717;1501;61240;89869;5962;419701;11995
Липецкая область;942177;871176;0;540055;73725;257395;73723;539979;7211;606491;11504;8469;5798;3035;116;1;0;0;0;12248;4843;717;79972;2763;1194;59229;49476;7978;382341;5730
Магаданская область;126784;119765;748;73140;2657;43220;3405;73042;804;75643;600;446;319;154;98;0;0;0;0;1483;1373;121;8930;561;236;11784;6642;1166;42284;1063
Московская область - Дмитровская;701987;654336;0;393920;23135;237262;23125;393343;5317;411151;18371;13312;11548;5059;350;19;0;0;0;12072;6512;588;63083;6541;1272;30100;28046;5762;245974;11201
Московская область - Истринская;674640;601603;0;409105;24188;168283;24185;408464;5432;427217;16848;11833;10322;5015;441;27;0;0;0;11813;5801;602;57007;5320;1210;33906;32045;5556;265304;8653
